entry,action,timestamp,error,dry_run
Inaugural Session,failed,2025-07-25T03:20:54.809774+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Address,failed,2025-07-25T03:20:55.169388+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Keynote,failed,2025-07-25T03:20:55.426322+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Keynote & Fireside Chat,created,2025-07-25T03:20:55.725255+00:00,,False
Special Session,failed,2025-07-25T03:20:55.993544+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Fireside Chat,failed,2025-07-25T03:20:56.263939+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Trialogue,failed,2025-07-25T03:20:56.529151+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Valedictory Address,failed,2025-07-25T03:20:56.801281+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Panel Discussion,failed,2025-07-25T03:20:57.045298+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Awards,failed,2025-07-25T03:20:57.304011+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Panel Discussion and Report Launch,failed,2025-07-25T03:20:57.549061+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Masterclass,failed,2025-07-25T03:20:57.805090+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Networking,failed,2025-07-25T03:20:58.073001+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Product Showcase,failed,2025-07-25T03:20:58.338775+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Product Launch,failed,2025-07-25T03:20:58.572153+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Round Table,failed,2025-07-25T03:20:58.858585+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Special Session,failed,2025-07-25T03:20:59.114834+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Workshop,failed,2025-07-25T03:20:59.368972+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Presentation,failed,2025-07-25T03:20:59.613946+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
Inaugural Session,failed,2025-07-25T03:20:59.902444+00:00,404 Client Error: Not Found for url: https://blessed-event-d36671ed20.strapiapp.com/api/agenda-formats/None,False
